Record ID,Manufacturer,Manufacturer Part Number,Provider,Status,Message,Knowledge Base Paths,PDCPartProfile Path
PMR-000007,TDK Corporation,PS1440P02BT,DigiKey,Already Cached,,Knowledge_Base\Current\DigiKey\Product_Details\TDK_Corporation__PS1440P02BT.json,output\provider_profiles\DIGIKEY__TDK_Corporation__PS1440P02BT.json
PMR-000007,TDK Corporation,PS1440P02BT,TME,Not Found,TME returned no products,Knowledge_Base\Current\TME\Product_Search\TDK_Corporation__PS1440P02BT.json,
PMR-000007,TDK Corporation,PS1440P02BT,Mouser,Already Cached,,Knowledge_Base\Current\Mouser\Part_Number_Search\TDK_Corporation__PS1440P02BT.json,output\provider_profiles\MOUSER__TDK_Corporation__PS1440P02BT.json
PMR-000008,MPD (Memory Protection Devices),BK-920,DigiKey,Already Cached,,Knowledge_Base\Current\DigiKey\Product_Details\MPD_Memory_Protection_Devices__BK-920.json,output\provider_profiles\DIGIKEY__MPD_Memory_Protection_Devices__BK-920.json
PMR-000008,MPD (Memory Protection Devices),BK-920,TME,Already Cached,,Knowledge_Base\Current\TME\Product_Search\B_K_PRECISION__BK-920.json | Knowledge_Base\Current\TME\Product_Data\B_K_PRECISION__BK-920.json | Knowledge_Base\Current\TME\Product_Parameters\B_K_PRECISION__BK-920.json,output\provider_profiles\TME__MPD_Memory_Protection_Devices__BK-920.json
PMR-000008,MPD (Memory Protection Devices),BK-920,Mouser,Not Found,Mouser returned no parts,Knowledge_Base\Current\Mouser\Part_Number_Search\MPD_Memory_Protection_Devices__BK-920.json,
PMR-000009,TE Connectivity,BAT-HLD-001-THM,DigiKey,Already Cached,,Knowledge_Base\Current\DigiKey\Product_Details\TE_Connectivity__BAT-HLD-001-THM.json,output\provider_profiles\DIGIKEY__TE_Connectivity__BAT-HLD-001-THM.json
PMR-000009,TE Connectivity,BAT-HLD-001-THM,TME,Already Cached,,Knowledge_Base\Current\TME\Product_Search\LINX_TECHNOLOGIES_TE_Connectivity__BAT-HLD-001-THM.json | Knowledge_Base\Current\TME\Product_Data\LINX_TECHNOLOGIES_TE_Connectivity__BAT-HLD-001-THM.json | Knowledge_Base\Current\TME\Product_Parameters\LINX_TECHNOLOGIES_TE_Connectivity__BAT-HLD-001-THM.json,output\provider_profiles\TME__TE_Connectivity__BAT-HLD-001-THM.json
PMR-000009,TE Connectivity,BAT-HLD-001-THM,Mouser,Already Cached,,Knowledge_Base\Current\Mouser\Part_Number_Search\TE_Connectivity__BAT-HLD-001-THM.json,output\provider_profiles\MOUSER__TE_Connectivity__BAT-HLD-001-THM.json
PMR-000010,onsemi,BC847BLT3G,DigiKey,Already Cached,,Knowledge_Base\Current\DigiKey\Product_Details\onsemi__BC847BLT3G.json,output\provider_profiles\DIGIKEY__onsemi__BC847BLT3G.json
PMR-000010,onsemi,BC847BLT3G,TME,Already Cached,,Knowledge_Base\Current\TME\Product_Search\onsemi__BC847BLT3G.json | Knowledge_Base\Current\TME\Product_Data\onsemi__BC847BLT3G.json | Knowledge_Base\Current\TME\Product_Parameters\onsemi__BC847BLT3G.json,output\provider_profiles\TME__onsemi__BC847BLT3G.json
PMR-000010,onsemi,BC847BLT3G,Mouser,Already Cached,,Knowledge_Base\Current\Mouser\Part_Number_Search\onsemi__BC847BLT3G.json,output\provider_profiles\MOUSER__onsemi__BC847BLT3G.json
PMR-000011,Wurth,885012006004,DigiKey,Downloaded,,Knowledge_Base\Current\DigiKey\Product_Details\Wurth__885012006004.json,output\provider_profiles\DIGIKEY__Wurth__885012006004.json
PMR-000011,Wurth,885012006004,TME,Not Found,TME returned no products,Knowledge_Base\Current\TME\Product_Search\Wurth__885012006004.json,
PMR-000011,Wurth,885012006004,Mouser,Downloaded,,Knowledge_Base\Current\Mouser\Part_Number_Search\Wurth__885012006004.json,output\provider_profiles\MOUSER__Wurth__885012006004.json
PMR-000012,Würth Elektronik,885012007002,DigiKey,Downloaded,,Knowledge_Base\Current\DigiKey\Product_Details\W_rth_Elektronik__885012007002.json,output\provider_profiles\DIGIKEY__W_rth_Elektronik__885012007002.json
PMR-000012,Würth Elektronik,885012007002,TME,Not Found,TME returned no products,Knowledge_Base\Current\TME\Product_Search\W_rth_Elektronik__885012007002.json,
PMR-000012,Würth Elektronik,885012007002,Mouser,Downloaded,,Knowledge_Base\Current\Mouser\Part_Number_Search\W_rth_Elektronik__885012007002.json,output\provider_profiles\MOUSER__W_rth_Elektronik__885012007002.json
PMR-000013,Samsung Electro-Mechanics,CL10C270JB8NNNC,DigiKey,Downloaded,,Knowledge_Base\Current\DigiKey\Product_Details\Samsung_Electro-Mechanics__CL10C270JB8NNNC.json,output\provider_profiles\DIGIKEY__Samsung_Electro-Mechanics__CL10C270JB8NNNC.json
PMR-000013,Samsung Electro-Mechanics,CL10C270JB8NNNC,TME,Downloaded,,Knowledge_Base\Current\TME\Product_Search\SAMSUNG__CL10C270JB8NNNC.json | Knowledge_Base\Current\TME\Product_Data\SAMSUNG__CL10C270JB8NNNC.json | Knowledge_Base\Current\TME\Product_Parameters\SAMSUNG__CL10C270JB8NNNC.json,output\provider_profiles\TME__Samsung_Electro-Mechanics__CL10C270JB8NNNC.json
PMR-000013,Samsung Electro-Mechanics,CL10C270JB8NNNC,Mouser,Downloaded,,Knowledge_Base\Current\Mouser\Part_Number_Search\Samsung_Electro-Mechanics__CL10C270JB8NNNC.json,output\provider_profiles\MOUSER__Samsung_Electro-Mechanics__CL10C270JB8NNNC.json
PMR-000014,Wurth,885012006054,DigiKey,Downloaded,,Knowledge_Base\Current\DigiKey\Product_Details\Wurth__885012006054.json,output\provider_profiles\DIGIKEY__Wurth__885012006054.json
PMR-000014,Wurth,885012006054,TME,Not Found,TME returned no products,Knowledge_Base\Current\TME\Product_Search\Wurth__885012006054.json,
PMR-000014,Wurth,885012006054,Mouser,Downloaded,,Knowledge_Base\Current\Mouser\Part_Number_Search\Wurth__885012006054.json,output\provider_profiles\MOUSER__Wurth__885012006054.json
PMR-000015,Murata,GRM1555C1H470JA01D,DigiKey,Downloaded,,Knowledge_Base\Current\DigiKey\Product_Details\Murata__GRM1555C1H470JA01D.json,output\provider_profiles\DIGIKEY__Murata__GRM1555C1H470JA01D.json
PMR-000015,Murata,GRM1555C1H470JA01D,TME,Downloaded,,Knowledge_Base\Current\TME\Product_Search\MURATA__GRM1555C1H470JA01D.json | Knowledge_Base\Current\TME\Product_Data\MURATA__GRM1555C1H470JA01D.json | Knowledge_Base\Current\TME\Product_Parameters\MURATA__GRM1555C1H470JA01D.json,output\provider_profiles\TME__Murata__GRM1555C1H470JA01D.json
PMR-000015,Murata,GRM1555C1H470JA01D,Mouser,Downloaded,,Knowledge_Base\Current\Mouser\Part_Number_Search\Murata__GRM1555C1H470JA01D.json,output\provider_profiles\MOUSER__Murata__GRM1555C1H470JA01D.json
PMR-000016,Wurth,885012206077,DigiKey,Downloaded,,Knowledge_Base\Current\DigiKey\Product_Details\Wurth__885012206077.json,output\provider_profiles\DIGIKEY__Wurth__885012206077.json
PMR-000016,Wurth,885012206077,TME,Not Found,TME returned no products,Knowledge_Base\Current\TME\Product_Search\Wurth__885012206077.json,
PMR-000016,Wurth,885012206077,Mouser,Downloaded,,Knowledge_Base\Current\Mouser\Part_Number_Search\Wurth__885012206077.json,output\provider_profiles\MOUSER__Wurth__885012206077.json
PMR-000017,Yageo,CC0805JRNPO9BN101,DigiKey,Downloaded,,Knowledge_Base\Current\DigiKey\Product_Details\Yageo__CC0805JRNPO9BN101.json,output\provider_profiles\DIGIKEY__Yageo__CC0805JRNPO9BN101.json
PMR-000017,Yageo,CC0805JRNPO9BN101,TME,Downloaded,,Knowledge_Base\Current\TME\Product_Search\YAGEO__CC0805JRNPO9BN101.json | Knowledge_Base\Current\TME\Product_Data\YAGEO__CC0805JRNPO9BN101.json | Knowledge_Base\Current\TME\Product_Parameters\YAGEO__CC0805JRNPO9BN101.json,output\provider_profiles\TME__Yageo__CC0805JRNPO9BN101.json
PMR-000017,Yageo,CC0805JRNPO9BN101,Mouser,Downloaded,,Knowledge_Base\Current\Mouser\Part_Number_Search\Yageo__CC0805JRNPO9BN101.json,output\provider_profiles\MOUSER__Yageo__CC0805JRNPO9BN101.json
PMR-000018,Wurth,885012006010,DigiKey,Downloaded,,Knowledge_Base\Current\DigiKey\Product_Details\Wurth__885012006010.json,output\provider_profiles\DIGIKEY__Wurth__885012006010.json
PMR-000018,Wurth,885012006010,TME,Not Found,TME returned no products,Knowledge_Base\Current\TME\Product_Search\Wurth__885012006010.json,
PMR-000018,Wurth,885012006010,Mouser,Downloaded,,Knowledge_Base\Current\Mouser\Part_Number_Search\Wurth__885012006010.json,output\provider_profiles\MOUSER__Wurth__885012006010.json
PMR-000019,Walsin Technology Corporation,0603B561J100CT,DigiKey,Downloaded,,Knowledge_Base\Current\DigiKey\Product_Details\Walsin_Technology_Corporation__0603B561J100CT.json,output\provider_profiles\DIGIKEY__Walsin_Technology_Corporation__0603B561J100CT.json
PMR-000019,Walsin Technology Corporation,0603B561J100CT,TME,Not Found,TME returned no products,Knowledge_Base\Current\TME\Product_Search\Walsin_Technology_Corporation__0603B561J100CT.json,
PMR-000019,Walsin Technology Corporation,0603B561J100CT,Mouser,Downloaded,,Knowledge_Base\Current\Mouser\Part_Number_Search\Walsin_Technology_Corporation__0603B561J100CT.json,output\provider_profiles\MOUSER__Walsin_Technology_Corporation__0603B561J100CT.json
PMR-000020,KEMET,C0805C561J4HAC7800,DigiKey,Failed,"RuntimeError: DigiKey 404: 
            {
                ""type"": ""https://tools.ietf.org/html/rfc7231#section-6.5.4"",
                ""title"": ""Not Found"",
                ""status"": 404,
                ""detail"": ""Requested Product c0805c561j4hac7800 Not Found"",
                ""instance"": """",
                ""correlationId"": ""16d1d2a4-b84f-44de-8188-a21118ac2f7b"",
                ""errors"": []
            }
        ",,
PMR-000020,KEMET,C0805C561J4HAC7800,TME,Not Found,TME returned no products,Knowledge_Base\Current\TME\Product_Search\KEMET__C0805C561J4HAC7800.json,
PMR-000020,KEMET,C0805C561J4HAC7800,Mouser,Downloaded,,Knowledge_Base\Current\Mouser\Part_Number_Search\KEMET__C0805C561J4HAC7800.json,output\provider_profiles\MOUSER__KEMET__C0805C561J4HAC7800.json
PMR-000021,Wurth,885012206034,DigiKey,Downloaded,,Knowledge_Base\Current\DigiKey\Product_Details\Wurth__885012206034.json,output\provider_profiles\DIGIKEY__Wurth__885012206034.json
PMR-000021,Wurth,885012206034,TME,Not Found,TME returned no products,Knowledge_Base\Current\TME\Product_Search\Wurth__885012206034.json,
PMR-000021,Wurth,885012206034,Mouser,Downloaded,,Knowledge_Base\Current\Mouser\Part_Number_Search\Wurth__885012206034.json,output\provider_profiles\MOUSER__Wurth__885012206034.json
PMR-000022,Würth Elektronik,885012007008,DigiKey,Downloaded,,Knowledge_Base\Current\DigiKey\Product_Details\W_rth_Elektronik__885012007008.json,output\provider_profiles\DIGIKEY__W_rth_Elektronik__885012007008.json
PMR-000022,Würth Elektronik,885012007008,TME,Not Found,TME returned no products,Knowledge_Base\Current\TME\Product_Search\W_rth_Elektronik__885012007008.json,
PMR-000022,Würth Elektronik,885012007008,Mouser,Downloaded,,Knowledge_Base\Current\Mouser\Part_Number_Search\W_rth_Elektronik__885012007008.json,output\provider_profiles\MOUSER__W_rth_Elektronik__885012007008.json
PMR-000023,EPCOS - TDK Electronics,B32529C8102K289,DigiKey,Downloaded,,Knowledge_Base\Current\DigiKey\Product_Details\EPCOS_-_TDK_Electronics__B32529C8102K289.json,output\provider_profiles\DIGIKEY__EPCOS_-_TDK_Electronics__B32529C8102K289.json
PMR-000023,EPCOS - TDK Electronics,B32529C8102K289,TME,Downloaded,,Knowledge_Base\Current\TME\Product_Search\TDK__B32529C8102K289.json | Knowledge_Base\Current\TME\Product_Data\TDK__B32529C8102K289.json | Knowledge_Base\Current\TME\Product_Parameters\TDK__B32529C8102K289.json,output\provider_profiles\TME__EPCOS_-_TDK_Electronics__B32529C8102K289.json
PMR-000023,EPCOS - TDK Electronics,B32529C8102K289,Mouser,Downloaded,,Knowledge_Base\Current\Mouser\Part_Number_Search\EPCOS_-_TDK_Electronics__B32529C8102K289.json,output\provider_profiles\MOUSER__EPCOS_-_TDK_Electronics__B32529C8102K289.json
PMR-000024,Würth Elektronik,885012207062,DigiKey,Downloaded,,Knowledge_Base\Current\DigiKey\Product_Details\W_rth_Elektronik__885012207062.json,output\provider_profiles\DIGIKEY__W_rth_Elektronik__885012207062.json
PMR-000024,Würth Elektronik,885012207062,TME,Not Found,TME returned no products,Knowledge_Base\Current\TME\Product_Search\W_rth_Elektronik__885012207062.json,
PMR-000024,Würth Elektronik,885012207062,Mouser,Downloaded,,Knowledge_Base\Current\Mouser\Part_Number_Search\W_rth_Elektronik__885012207062.json,output\provider_profiles\MOUSER__W_rth_Elektronik__885012207062.json
PMR-000025,YAGEO,CC0402KRX7R9BB103,DigiKey,Downloaded,,Knowledge_Base\Current\DigiKey\Product_Details\YAGEO__CC0402KRX7R9BB103.json,output\provider_profiles\DIGIKEY__YAGEO__CC0402KRX7R9BB103.json
PMR-000025,YAGEO,CC0402KRX7R9BB103,TME,Downloaded,,Knowledge_Base\Current\TME\Product_Search\YAGEO__CC0402KRX7R9BB103.json | Knowledge_Base\Current\TME\Product_Data\YAGEO__CC0402KRX7R9BB103.json | Knowledge_Base\Current\TME\Product_Parameters\YAGEO__CC0402KRX7R9BB103.json,output\provider_profiles\TME__YAGEO__CC0402KRX7R9BB103.json
PMR-000025,YAGEO,CC0402KRX7R9BB103,Mouser,Downloaded,,Knowledge_Base\Current\Mouser\Part_Number_Search\YAGEO__CC0402KRX7R9BB103.json,output\provider_profiles\MOUSER__YAGEO__CC0402KRX7R9BB103.json
PMR-000026,Wurth,885012206014,DigiKey,Downloaded,,Knowledge_Base\Current\DigiKey\Product_Details\Wurth__885012206014.json,output\provider_profiles\DIGIKEY__Wurth__885012206014.json
PMR-000026,Wurth,885012206014,TME,Not Found,TME returned no products,Knowledge_Base\Current\TME\Product_Search\Wurth__885012206014.json,
PMR-000026,Wurth,885012206014,Mouser,Downloaded,,Knowledge_Base\Current\Mouser\Part_Number_Search\Wurth__885012206014.json,output\provider_profiles\MOUSER__Wurth__885012206014.json
PMR-000027,KEMET,C0805C103J4RECAUTO7210,DigiKey,Downloaded,,Knowledge_Base\Current\DigiKey\Product_Details\KEMET__C0805C103J4RECAUTO7210.json,output\provider_profiles\DIGIKEY__KEMET__C0805C103J4RECAUTO7210.json
PMR-000027,KEMET,C0805C103J4RECAUTO7210,TME,Not Found,TME returned no products,Knowledge_Base\Current\TME\Product_Search\KEMET__C0805C103J4RECAUTO7210.json,
PMR-000027,KEMET,C0805C103J4RECAUTO7210,Mouser,Downloaded,,Knowledge_Base\Current\Mouser\Part_Number_Search\KEMET__C0805C103J4RECAUTO7210.json,output\provider_profiles\MOUSER__KEMET__C0805C103J4RECAUTO7210.json
PMR-000028,KEMET,R413I21000000M,DigiKey,Downloaded,,Knowledge_Base\Current\DigiKey\Product_Details\KEMET__R413I21000000M.json,output\provider_profiles\DIGIKEY__KEMET__R413I21000000M.json
PMR-000028,KEMET,R413I21000000M,TME,Downloaded,,Knowledge_Base\Current\TME\Product_Search\KEMET__R413I21000000M.json | Knowledge_Base\Current\TME\Product_Data\KEMET__R413I21000000M.json | Knowledge_Base\Current\TME\Product_Parameters\KEMET__R413I21000000M.json,output\provider_profiles\TME__KEMET__R413I21000000M.json
PMR-000028,KEMET,R413I21000000M,Mouser,Downloaded,,Knowledge_Base\Current\Mouser\Part_Number_Search\KEMET__R413I21000000M.json,output\provider_profiles\MOUSER__KEMET__R413I21000000M.json
PMR-000029,YAGEO,CC0402KRX7R9BB104,DigiKey,Downloaded,,Knowledge_Base\Current\DigiKey\Product_Details\YAGEO__CC0402KRX7R9BB104.json,output\provider_profiles\DIGIKEY__YAGEO__CC0402KRX7R9BB104.json
PMR-000029,YAGEO,CC0402KRX7R9BB104,TME,Downloaded,,Knowledge_Base\Current\TME\Product_Search\YAGEO__CC0402KRX7R9BB104.json | Knowledge_Base\Current\TME\Product_Data\YAGEO__CC0402KRX7R9BB104.json | Knowledge_Base\Current\TME\Product_Parameters\YAGEO__CC0402KRX7R9BB104.json,output\provider_profiles\TME__YAGEO__CC0402KRX7R9BB104.json
PMR-000029,YAGEO,CC0402KRX7R9BB104,Mouser,Downloaded,,Knowledge_Base\Current\Mouser\Part_Number_Search\YAGEO__CC0402KRX7R9BB104.json,output\provider_profiles\MOUSER__YAGEO__CC0402KRX7R9BB104.json
PMR-000030,Wurth,885012206071,DigiKey,Downloaded,,Knowledge_Base\Current\DigiKey\Product_Details\Wurth__885012206071.json,output\provider_profiles\DIGIKEY__Wurth__885012206071.json
PMR-000030,Wurth,885012206071,TME,Not Found,TME returned no products,Knowledge_Base\Current\TME\Product_Search\Wurth__885012206071.json,
PMR-000030,Wurth,885012206071,Mouser,Downloaded,,Knowledge_Base\Current\Mouser\Part_Number_Search\Wurth__885012206071.json,output\provider_profiles\MOUSER__Wurth__885012206071.json
PMR-000031,YAGEO,CC0805JRX7R7BB104,DigiKey,Failed,"RuntimeError: DigiKey 404: 
            {
                ""type"": ""https://tools.ietf.org/html/rfc7231#section-6.5.4"",
                ""title"": ""Not Found"",
                ""status"": 404,
                ""detail"": ""Requested Product cc0805jrx7r7bb104 Not Found"",
                ""instance"": """",
                ""correlationId"": ""ca5943af-0d30-422e-dce2-3d20e6fe6026"",
                ""errors"": []
            }
        ",,
PMR-000031,YAGEO,CC0805JRX7R7BB104,TME,Not Found,TME returned no products,Knowledge_Base\Current\TME\Product_Search\YAGEO__CC0805JRX7R7BB104.json,
PMR-000031,YAGEO,CC0805JRX7R7BB104,Mouser,Downloaded,,Knowledge_Base\Current\Mouser\Part_Number_Search\YAGEO__CC0805JRX7R7BB104.json,output\provider_profiles\MOUSER__YAGEO__CC0805JRX7R7BB104.json
PMR-000032,Würth Elektronik,885012207098,DigiKey,Downloaded,,Knowledge_Base\Current\DigiKey\Product_Details\W_rth_Elektronik__885012207098.json,output\provider_profiles\DIGIKEY__W_rth_Elektronik__885012207098.json
PMR-000032,Würth Elektronik,885012207098,TME,Not Found,TME returned no products,Knowledge_Base\Current\TME\Product_Search\W_rth_Elektronik__885012207098.json,
PMR-000032,Würth Elektronik,885012207098,Mouser,Downloaded,,Knowledge_Base\Current\Mouser\Part_Number_Search\W_rth_Elektronik__885012207098.json,output\provider_profiles\MOUSER__W_rth_Elektronik__885012207098.json
PMR-000033,KYOCERA AVX,TPSA224K035R6000,DigiKey,Downloaded,,Knowledge_Base\Current\DigiKey\Product_Details\KYOCERA_AVX__TPSA224K035R6000.json,output\provider_profiles\DIGIKEY__KYOCERA_AVX__TPSA224K035R6000.json
PMR-000033,KYOCERA AVX,TPSA224K035R6000,TME,Downloaded,,Knowledge_Base\Current\TME\Product_Search\KYOCERA_AVX__TPSA224K035R6000.json | Knowledge_Base\Current\TME\Product_Data\KYOCERA_AVX__TPSA224K035R6000.json | Knowledge_Base\Current\TME\Product_Parameters\KYOCERA_AVX__TPSA224K035R6000.json,output\provider_profiles\TME__KYOCERA_AVX__TPSA224K035R6000.json
PMR-000033,KYOCERA AVX,TPSA224K035R6000,Mouser,Downloaded,,Knowledge_Base\Current\Mouser\Part_Number_Search\KYOCERA_AVX__TPSA224K035R6000.json,output\provider_profiles\MOUSER__KYOCERA_AVX__TPSA224K035R6000.json
PMR-000034,Samsung Electro-Mechanics,CL10B105KO8NNNC,DigiKey,Downloaded,,Knowledge_Base\Current\DigiKey\Product_Details\Samsung_Electro-Mechanics__CL10B105KO8NNNC.json,output\provider_profiles\DIGIKEY__Samsung_Electro-Mechanics__CL10B105KO8NNNC.json
PMR-000034,Samsung Electro-Mechanics,CL10B105KO8NNNC,TME,Downloaded,,Knowledge_Base\Current\TME\Product_Search\SAMSUNG__CL10B105KO8NNNC.json | Knowledge_Base\Current\TME\Product_Data\SAMSUNG__CL10B105KO8NNNC.json | Knowledge_Base\Current\TME\Product_Parameters\SAMSUNG__CL10B105KO8NNNC.json,output\provider_profiles\TME__Samsung_Electro-Mechanics__CL10B105KO8NNNC.json
PMR-000034,Samsung Electro-Mechanics,CL10B105KO8NNNC,Mouser,Downloaded,,Knowledge_Base\Current\Mouser\Part_Number_Search\Samsung_Electro-Mechanics__CL10B105KO8NNNC.json,output\provider_profiles\MOUSER__Samsung_Electro-Mechanics__CL10B105KO8NNNC.json
PMR-000035,Murata Electronics,NFM18PC105R0J3D,DigiKey,Downloaded,,Knowledge_Base\Current\DigiKey\Product_Details\Murata_Electronics__NFM18PC105R0J3D.json,output\provider_profiles\DIGIKEY__Murata_Electronics__NFM18PC105R0J3D.json
PMR-000035,Murata Electronics,NFM18PC105R0J3D,TME,Downloaded,,Knowledge_Base\Current\TME\Product_Search\MURATA__NFM18PC105R0J3D.json | Knowledge_Base\Current\TME\Product_Data\MURATA__NFM18PC105R0J3D.json | Knowledge_Base\Current\TME\Product_Parameters\MURATA__NFM18PC105R0J3D.json,output\provider_profiles\TME__Murata_Electronics__NFM18PC105R0J3D.json
PMR-000035,Murata Electronics,NFM18PC105R0J3D,Mouser,Downloaded,,Knowledge_Base\Current\Mouser\Part_Number_Search\Murata_Electronics__NFM18PC105R0J3D.json,output\provider_profiles\MOUSER__Murata_Electronics__NFM18PC105R0J3D.json
PMR-000036,Würth Elektronik,885012207051,DigiKey,Downloaded,,Knowledge_Base\Current\DigiKey\Product_Details\W_rth_Elektronik__885012207051.json,output\provider_profiles\DIGIKEY__W_rth_Elektronik__885012207051.json
PMR-000036,Würth Elektronik,885012207051,TME,Not Found,TME returned no products,Knowledge_Base\Current\TME\Product_Search\W_rth_Elektronik__885012207051.json,
PMR-000036,Würth Elektronik,885012207051,Mouser,Downloaded,,Knowledge_Base\Current\Mouser\Part_Number_Search\W_rth_Elektronik__885012207051.json,output\provider_profiles\MOUSER__W_rth_Elektronik__885012207051.json
